Time,CForce,BForce,AForce,DForce
3.46,0.507274682,-0.034483046,-0.020772919,0.199004564
3.47,0.507274682,-0.034483046,-0.007062792,0.199004564
3.48,0.513922016,-0.04113038,-0.007062792,0.199004564
3.49,0.513922016,-0.04113038,-0.007062792,0.199004564
3.5,0.507274682,-0.04113038,-0.007062792,0.191941772
3.51,0.507274682,-0.04113038,-0.013710127,0.199004564
3.52,0.507274682,-0.04113038,-0.007062792,0.205651898
3.53,0.513922016,-0.04113038,-0.007062792,0.199004564
3.54,0.513922016,-0.048193172,-0.007062792,0.205651898
3.55,0.513922016,-0.04113038,0,0.199004564
3.56,0.507274682,-0.034483046,-0.007062792,0.199004564
3.57,0.507274682,-0.04113038,-0.007062792,0.205651898
3.58,0.507274682,-0.034483046,-0.013710127,0.199004564
3.59,0.513922016,-0.034483046,-0.013710127,0.178231645
3.6,0.513922016,-0.034483046,-0.013710127,-0.301622784
3.61,0.507274682,-0.04113038,-0.007062792,0.054840506
3.62,0.513922016,-0.034483046,-0.007062792,0.137101265
3.63,0.513922016,-0.027420253,-0.013710127,0.123391139
3.64,0.513922016,-0.027420253,-0.013710127,0.109681012
3.65,0.513922016,-0.027420253,-0.013710127,0.109681012
3.66,0.520984809,-0.027420253,-0.007062792,0.116328346
3.67,0.513922016,-0.020772919,-0.013710127,0.191941772
3.68,0.513922016,-0.034483046,-0.007062792,-0.075613425
3.69,0.513922016,-0.027420253,-0.013710127,0.109681012
3.7,0.520984809,-0.027420253,-0.007062792,0.10261822
3.71,0.513922016,-0.027420253,-0.020772919,0.164521519
3.72,0.513922016,-0.034483046,-0.013710127,0.205651898
3.73,0.513922016,-0.034483046,-0.007062792,0.226424817
3.74,0.513922016,-0.034483046,-0.013710127,0.226424817
3.75,0.520984809,-0.034483046,-0.007062792,0.226424817
3.76,0.513922016,-0.034483046,-0.013710127,0.226424817
3.77,0.513922016,-0.034483046,-0.013710127,0.226424817
3.78,0.520984809,-0.027420253,-0.007062792,0.233072151
3.79,0.513922016,-0.034483046,-0.020772919,0.233072151
3.8,0.513922016,-0.027420253,-0.013710127,0.233072151
3.81,0.520984809,-0.034483046,-0.013710127,0.240134944
3.82,0.513922016,-0.027420253,-0.007062792,0.226424817
3.83,0.520984809,-0.034483046,-0.013710127,0.226424817
3.84,0.513922016,-0.034483046,-0.013710127,0.226424817
3.85,0.513922016,-0.034483046,-0.013710127,0.226424817
3.86,0.520984809,-0.04113038,-0.007062792,0.226424817
3.87,0.513922016,-0.034483046,-0.007062792,0.233072151
3.88,0.513922016,-0.034483046,-0.013710127,0.233072151
3.89,0.452434176,-0.034483046,-0.013710127,0.240134944
3.9,0.534694935,-0.034483046,-0.013710127,0.233072151
3.91,0.534694935,-0.020772919,-0.007062792,0.233072151
3.92,0.404241004,-0.007062792,-0.007062792,0.233072151
3.93,0.431661257,-0.007062792,-0.013710127,0.233072151
3.94,0.274202531,-0.020772919,-0.013710127,0.233072151
3.95,0.267139739,-0.04113038,-0.007062792,0.233072151
3.96,0.280849865,-0.054840506,-0.007062792,0.233072151
3.97,0.253429612,-0.048193172,-0.013710127,0.233072151
3.98,0.226009359,-0.020772919,-0.013710127,0.233072151
3.99,0.178231645,0.04113038,-0.007062792,0.233072151
4,0.088908093,0.06148784,-0.007062792,0.233072151
4.01,0.034067587,0.1437486,-0.007062792,0.240134944
4.02,-0.082260759,0.123391139,-0.007062792,0.233072151
4.03,-0.150811392,0.10261822,-0.007062792,0.226424817
4.04,-0.452434176,0.075197967,-0.007062792,0.233072151
4.05,-0.863737973,-0.013710127,-0.007062792,0.233072151
4.06,-1.364365321,0.006647334,-0.013710127,0.233072151
4.07,-1.960548097,0,-0.013710127,0.226424817
4.08,-2.632344298,-0.04113038,-0.020772919,0.226424817
4.09,-3.263010119,-0.054840506,-0.007062792,0.233072151
4.1,-4.360235701,-0.095970886,-0.020772919,0.233072151
4.11,-5.285461514,-0.150811392,-0.013710127,0.233072151
4.12,-6.464532398,-0.199004564,-0.013710127,0.233072151
4.13,-7.609535694,-0.301622784,-0.013710127,0.233072151
4.14,-8.733766071,-0.445786842,-0.013710127,0.233072151
4.15,-9.940257207,-0.678858993,-0.013710127,0.240134944
4.16,-11.13303822,-1.028259491,-0.054840506,0.226424817
4.17,-12.29175164,-1.480693667,0.116328346,0.233072151
4.18,-12.42677561,-2.049871648,0.04113038,0.233072151
4.19,-12.42677561,-2.659764551,0,0.226424817
4.2,-12.42677561,-3.441241764,-0.034483046,0.233072151
4.21,-10.84512556,-4.428786334,-0.103033678,0.226424817
4.22,-6.416754684,-5.498176205,-0.226424817,0.233072151
4.23,-4.277974942,-6.53308303,-0.349815956,0.233072151
4.24,-3.640246328,-7.458724302,-0.287912658,0.233072151
4.25,-3.441241764,-8.295042021,-0.29497545,0.240134944
4.26,-3.249299992,-9.056161774,-0.35646329,0.240134944
4.27,-3.07813114,-9.926547081,-0.377236209,0.233072151
4.28,-3.029937968,-10.52979265,-0.445786842,0.233072151
4.29,-2.947677208,-10.89996607,-0.555467854,0.233072151
4.3,-2.824286069,-11.09190784,-0.740346834,0.233072151
4.31,-2.762798229,-10.67395671,-0.994191904,0.240134944
4.32,-2.632344298,-10.04993822,-1.343592402,0.233072151
4.33,-2.604924044,-9.673117469,-1.782316451,0.233072151
4.34,-2.529726078,-8.432143287,-2.330721513,0.226424817
4.35,-2.481532906,-6.738734929,-2.982160254,0.233072151
4.36,-2.467822779,-5.449983033,-3.749927341,0.233072151
4.37,-2.2829438,-4.785249624,-4.620728106,0.233072151
4.38,-2.008741269,-4.387655954,-5.73789569,0.240134944
4.39,-1.707118485,-4.147521011,-6.97180708,0.233072151
4.4,-1.316172149,-3.89367594,-8.150877963,0.233072151
4.41,-0.959708858,-3.736217214,-8.939417969,0.233072151
4.42,-0.624018487,-3.653956455,-9.782798481,0.233072151
4.43,-0.308685577,-3.550922776,-10.68766683,0.233072151
4.44,-0.013710127,-3.39346405,-11.48950151,0.233072151
4.45,0.171168853,-3.256362785,-12.20949088,0.240134944
4.46,0.280849865,-3.208169613,-12.75124861,0.240134944
4.47,0.349400498,-3.153329106,-12.71676556,0.240134944
4.48,0.411303796,-3.174102026,-11.66773315,0.233072151
4.49,0.479854429,-3.228942532,-9.871706574,0.233072151
4.5,0.54134227,-3.18074936,-7.931515938,0.219362025
