"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.060710287E1,-1.450982690E-2,-2.392838597E-1,2.619361877E-2,2.411501737E-1
1.062502279E1,5.362480879E-4,-3.054919541E-1,2.138328552E-2,3.062398839E-1
1.064293966E1,-3.343888000E-2,-2.233791649E-1,1.238632202E-2,2.262074954E-1
1.066085800E1,1.926308498E-2,-2.754041553E-1,2.612590790E-2,2.773104366E-1
1.067877505E1,-3.329325840E-2,-2.462127805E-1,7.567405701E-3,2.485687831E-1
1.069669332E1,3.423541784E-6,-2.213904113E-1,7.556915283E-3,2.215193472E-1
1.071461111E1,-2.401286736E-2,-2.647094727E-1,1.173210144E-2,2.660551915E-1
1.073252908E1,2.391041443E-2,-2.208388895E-1,-7.415771484E-3,2.222532715E-1
1.075044644E1,-4.258602113E-2,-2.737065554E-1,6.928443909E-3,2.770863601E-1
1.076836453E1,-4.252408445E-2,-2.588386536E-1,1.169776917E-2,2.625691988E-1
1.078628219E1,-3.790595755E-2,-3.156142831E-1,1.107883453E-2,3.180754280E-1
1.080420047E1,-5.254416913E-2,-2.434493005E-1,-2.690315247E-3,2.490696478E-1
1.082211837E1,-3.281417117E-2,-3.193040490E-1,2.061653137E-2,3.216471466E-1
1.084003268E1,-9.614206851E-3,-2.898935378E-1,-3.333091736E-3,2.900720699E-1
1.085795657E1,-1.446072757E-2,-2.843706608E-1,-1.771259308E-2,2.852884879E-1
1.087587161E1,-1.394007728E-2,-2.690861821E-1,2.532958984E-2,2.706349705E-1
1.089378878E1,1.414067857E-2,-2.969708443E-1,-8.196830750E-3,2.974202904E-1
1.091171017E1,4.437988624E-3,-2.481923699E-1,-1.301097870E-2,2.485727938E-1
1.092962179E1,-6.237737834E-4,-2.473256588E-1,-1.782417297E-2,2.479678845E-1
1.094754568E1,-5.572538823E-3,-2.275806069E-1,-1.245975494E-2,2.279895422E-1
1.096546176E1,-4.858380929E-2,-2.126579285E-1,-2.905845642E-3,2.181564232E-1
1.098336422E1,-3.884660080E-2,-2.313949466E-1,6.653785706E-3,2.347274005E-1
1.100130166E1,-2.436456829E-2,-2.023011297E-1,-2.928733826E-3,2.037840935E-1
1.101921340E1,-3.372678533E-2,-2.117908597E-1,-2.685832977E-2,2.161347593E-1
1.103713235E1,-1.886688918E-2,-3.023161888E-1,1.560115814E-2,3.033058418E-1
1.105504977E1,-5.790783837E-2,-1.969004571E-1,-4.601860046E-2,2.103350170E-1
1.107296731E1,4.801658913E-3,-3.205498457E-1,-1.792621613E-2,3.210866063E-1
1.109088552E1,-2.432031184E-2,-2.530953884E-1,-3.582954407E-3,2.542864345E-1
1.110880288E1,1.401074044E-2,-3.099256754E-1,-1.855564117E-2,3.107966167E-1
1.112672091E1,-4.998296499E-3,-2.518782020E-1,-3.619194031E-3,2.519537858E-1
1.114463894E1,-9.482242167E-3,-3.083435595E-1,3.403759003E-2,3.103614363E-1
1.116255715E1,-1.031921804E-2,-2.263306379E-1,2.025794983E-2,2.274696210E-1
1.118047415E1,-1.458871737E-2,-2.732989192E-1,2.501773834E-2,2.748290690E-1
1.119839224E1,8.663067594E-3,-2.247818112E-1,3.935432434E-2,2.283652212E-1
1.121631033E1,-2.489414066E-2,-2.336173803E-1,1.540374756E-2,2.354444182E-1
1.123422781E1,-4.409724474E-2,-1.851452142E-1,3.034019470E-2,1.927273845E-1
