"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.660058159E1,-3.153821081E-2,-1.980572939E-2,-1.813440323E-1,1.851285599E-1
3.661850047E1,-2.390643954E-2,-2.317810059E-2,-1.718225479E-1,1.750192280E-1
3.663641923E1,-5.769088864E-3,-4.121583700E-2,-9.529018402E-2,1.039819541E-1
3.665433507E1,2.755425870E-2,-4.274874926E-3,-6.651687622E-2,7.212493709E-2
3.667225987E1,-7.678322494E-3,-4.196283221E-2,-3.763103485E-2,5.688524156E-2
3.669017576E1,1.083671302E-2,-1.682758331E-3,-6.086254120E-2,6.184266283E-2
3.670809477E1,7.265605032E-3,-4.156231880E-4,-7.050132751E-2,7.087594049E-2
3.672600151E1,-1.179286838E-2,-2.119669318E-2,-8.500480652E-2,8.839789974E-2
3.674393230E1,-2.831085026E-2,-1.374307275E-2,5.157470703E-3,3.189005794E-2
3.676185118E1,5.636736751E-3,2.410054207E-3,4.332733154E-2,4.375887134E-2
3.677977006E1,3.400573134E-2,-3.169775009E-4,1.452159882E-2,3.697792681E-2
3.679768816E1,2.471366897E-2,4.406046867E-2,-1.365470886E-2,5.233107497E-2
3.681560789E1,3.162759170E-2,6.195431948E-2,-3.751468658E-2,7.903160107E-2
3.683352611E1,4.682200402E-2,6.830605865E-2,-5.648994446E-2,1.002453567E-1
3.685144548E1,3.495074809E-2,4.584133625E-2,-8.985233307E-2,1.067540381E-1
3.686936076E1,3.800401837E-2,1.540535688E-2,-5.631637573E-2,6.966465824E-2
3.688728270E1,5.241394043E-3,-1.819160581E-2,-3.695487976E-3,1.928894411E-2
3.690520164E1,-3.163198382E-2,9.950995445E-5,3.479576111E-2,4.702485825E-2
3.692312096E1,-7.029981166E-2,-4.697304964E-2,-3.108978271E-3,8.460612660E-2
3.694103856E1,-8.083570004E-2,-8.551245928E-2,5.412769318E-2,1.295245083E-1
3.695895775E1,-6.170398742E-2,-1.089850962E-1,1.914024353E-3,1.252549270E-1
3.697687694E1,-3.900269419E-2,-4.139184952E-2,-1.785030365E-1,1.873441470E-1
3.699479588E1,-1.005972475E-1,2.963832021E-2,-1.491384506E-1,1.823198115E-1
3.701271422E1,-1.176852360E-1,-1.231354475E-2,3.228473663E-2,1.226529347E-1
3.703062132E1,2.261044271E-2,-6.134444475E-2,3.228378296E-2,7.291512644E-2
3.704853593E1,7.736887783E-2,-1.103397310E-1,-3.448009491E-2,1.391031144E-1
3.706646818E1,6.042908877E-2,-1.249515414E-1,-1.383399963E-1,1.959656017E-1
3.708439238E1,-3.260600939E-2,-3.549450636E-2,-4.030704498E-2,6.283048389E-2
3.710230833E1,-1.609901488E-1,-4.308289289E-2,-7.171344757E-2,1.814298273E-1
3.712022710E1,-4.814070463E-2,-1.465809345E-2,4.431724548E-2,6.705524136E-2
3.713814629E1,4.674632847E-2,-2.596575022E-2,3.212928772E-3,5.357016260E-2
3.715606468E1,3.436505049E-2,-1.819884777E-2,-7.548713684E-2,8.491444273E-2
3.717398369E1,6.550770998E-2,4.465198517E-2,-1.309175491E-1,1.530505293E-1
